IdeAgenteAcessante,NumCNPJAgenteAcessante,NomAgenteAcessante
552,25086034000171,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.
553,0,ENERGÉTICA TUPACIGUARA (ANTIGA CENTRAL ENERGÉTICA TUPACIGUARA)
554,0,ENERVALE
555,0,ENGENHEIRO BERNARDO FIGUEIREDO
556,0,ENGENHEIRO ERNESTO JORGE DREHER
557,0,ENGENHEIRO HENRIQUE KOTZIAN
558,0,ENGENHEIRO JOSÉ GELÁSIO DA ROCHA
559,0,ENTRE RIOS
560,0,ENXADRISTA
561,12272084000100,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.
562,01543032000104,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A
563,06272793000184,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A
564,04895728000180,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
565,06840748000189,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A
566,0,EQUIPAV
567,0,EQUIPAV II
568,0,ERNA HEIDRICH
569,0,ERNESTINA
570,0,ERNESTO LAVRATTI NETO
571,0,ERVÁLIA
572,0,ESMERALDA
573,0,ESMERIL
574,0,ESPERANÇA
575,0,ESPLANADA (ANTIGA JALLES MACHADO)
576,0,ESPORA
577,0,ESTER
578,0,ESTIVAS
579,0,ESTREITO
580,0,EUCLIDELÂNDIA
581,0,EUCLIDES DA CUNHA
582,0,EÓLICA DE BOM JARDIM
583,0,F&S AGRI SOLUTIONS
584,0,FABRICIO INDUSTRIA PETROQUIMICA
585,0,FAGUNDES
586,0,FARTURA
587,0,FAXINAL
588,0,FAXINAL I
589,0,FAXINAL II
590,0,FAZENDA ESMERALDA
591,0,FAZENDA FIGUEIRÃO
592,0,FAZENDA ROSÁRIO
593,0,FAZENDA ROSÁRIO 2
594,0,FAZENDA ROSÁRIO 3
595,0,FAZENDA VELHA
596,0,FCR III ITAPURANGA
597,0,FEDERAL
598,0,FEIJÓ D
599,0,FERGUSA SIDERURGIA
600,0,FERMAP ARMAZÉNS GERAIS
601,0,FERRADURA
602,0,FERRARI
603,0,FERREIRA COSTA ARACAJU
604,0,FERREIRA COSTA CARUARU
605,0,FERREIRA COSTA JOÃO PESSOA
606,0,FERRO LIGAS JUMIRIM (UFV MARIO SAMPAIO FILHO)
607,0,FIBRIA - MS (ANTIGA VCP - MS)
608,0,FIBRIA MS-II
609,0,FIGUEIRA
610,0,FIGUEIRA DO TIGRE
611,0,FIGUEIRÓPOLIS
612,0,FLOR DO SERTÃO
613,0,FLORAPLAC
614,0,FLORESTA
615,0,FLORESTAL
616,0,FOCCHEZAN ENERGIA
617,0,FONTES NOVA
618,79850574000109,FORCA E LUZ CORONEL VIVIDA LTDA
619,03470727000120,FORD MOTOR COMPANY BRASIL LTDA
620,0,FOREST
621,0,FORMIGUEIRO
622,0,FORQUILHA
623,0,FORQUILHA IV
624,0,FORTLEV PE I
625,0,FORTUNA II
626,0,FORÇA E LUZ SÃO PEDRO
627,0,FOZ DO CEDRO (ANTIGA A1E8)
628,0,FOZ DO ESTRELA
629,0,FOZ DO RIO CHORÓ
630,0,FRANCA AMARAL
631,0,FRANCISCO GROSS (ANTIGA SANTA FÉ)
632,0,FRANCISCO SÁ 1
633,0,FRANCISCO SÁ 2
634,0,FRANCISCO SÁ 3
635,0,FRASCAL
636,0,FREDERICO JOÃO CERUTTI SA
637,0,FRUTAL
638,0,FRUTEIRAS
639,0,FS PRIMAVERA
640,0,FUMAÇA
641,0,FUMAÇA IV
642,0,FUNDÃO
643,0,FUNDÃO I
644,0,FUNDÃOZINHO
645,0,FUNIL
646,0,FURLAN AVARÉ
647,0,FURNAS DO SEGREDO
648,0,FURQUIM
649,0,FV UNIMETAIS IND
650,0,FÊNIX
651,0,G & D
652,0,GABRIEL PASSOS
653,0,GAFANHOTO
654,0,GALERA CENTRAIS ELETRICAS 1A
655,0,GALHEIROS I
656,0,GALOPOLIS
657,0,GALVANI
658,0,GAMELEIRA
659,0,GARCIA
660,0,GARCIA DE ANGELINA
661,0,GARGANTA DA JARARACA
662,0,GARGAÚ
663,0,GARIBALDI
664,0,GARÇA BRANCA
665,0,GASA
666,0,GAVIÃO PEIXOTO
667,0,GD (GRUPO A)
668,0,GD - BT TIPO 1
669,0,GD - BT TIPO 2
670,59275792000000,GENERAL MOTORS DO BRASIL LTDA
671,0,GENEROSO
672,0,GEO ELÉTRICA TAMBOARA
